"alpha","fixed_LRT_bpval","fixed_LRT_fpval","beta_LRT_bpval","beta_LRT_fpval","add_LRT_pval","fixed_Wald_bpval","fixed_Wald_fpval","beta_Wald_bpval","beta_Wald_fpval","add_Wald_pval","NSIM"
0.0500000000000004,0.0436121012331709,0.0470722276113502,0.0419341537929072,0.0465593806651548,0.0311316689610434,0.00200142150651184,0.00252537359571223,0.00263623648757404,0.00262888957596615,8.70380305895362e-05,1e+06
0.0099999999999999,0.00765417053500957,0.00876528184301788,0.00727111045994874,0.00859882841908883,0.00449795722098847,9.69706241305589e-05,0.000112438667338314,0.000130232367848079,0.000120291171770545,2.00080032012805e-06,1e+06
0.001,0.000665918727023322,0.000793277413718965,0.000638744212246655,0.000764525149630245,0.000262107694347995,0,1.64581961816985e-06,1.66002656042497e-06,1.67672702883971e-06,0,1e+06
1e-04,5.65686411146134e-05,7.26772320226128e-05,5.0220953802297e-05,6.75937050964415e-05,1.40048041642287e-05,0,0,0,0,0,1e+06
1e-05,4.92000344222938e-06,1.64365548980933e-06,5.09528578807842e-06,1.67560321715818e-06,1e-06,0,0,0,0,0,1e+06
1.00000000000001e-06,0,0,0,0,0,0,0,0,0,0,1e+06
