"alpha","fixed_LRT_bpval","fixed_LRT_fpval","beta_LRT_bpval","beta_LRT_fpval","add_LRT_pval","fixed_Wald_bpval","fixed_Wald_fpval","beta_Wald_bpval","beta_Wald_fpval","add_Wald_pval","NSIM"
0.0500000000000004,0.0503637911248662,0.0492795726007743,0.0467754085959328,0.0501176317746439,0.0306011651925847,0.00022565829572157,0.000325197512168841,0.000463636357474055,0.000392747801499095,0.000217045226418383,1e+06
0.0099999999999999,0.00839765469786312,0.0085391294946168,0.00799915416548604,0.00877872927927998,0.00384178325263251,4.43097417823785e-06,1.06954930221917e-05,1.08243364822312e-05,1.21672508525957e-05,1.40044036833954e-05,1e+06
0.001,0.000630676643715355,0.000728794172437594,0.000716172931756517,0.000784068116132453,0.000177036422897744,0,0,0,0,0,1e+06
1e-04,5.47385126159884e-05,5.64125038162579e-05,4.97222397894478e-05,6.35053291131514e-05,1.10024019219222e-05,0,0,0,0,0,1e+06
1e-05,0,0,0,0,0,0,0,0,0,0,1e+06
1.00000000000001e-06,0,0,0,0,0,0,0,0,0,0,1e+06
